Field,MCD_1_amp_max,MCD_1_amp_min,MCD_2_amp_max,MCD_2_amp_min
-10.0,7.26875e-05,-0.00018508008937499998,0.00014099999999999996,6.56438115e-05
-2.0,-3.999999999999989e-06,-5.2396633750000007e-05,9.687500000000012e-06,-2.1400655000000004e-05
-4.0,8.562499999999998e-06,-9.2714437125e-05,3.8960442500000014e-05,6.650884000000004e-06
-6.0,1.504035999999999e-05,-0.00012667496893750002,5.914794250000001e-05,1.7140692750000005e-05
-8.0,3.347786e-05,-0.00016082129750000001,8.58354425e-05,3.7102209e-05
10.0,7.27234425e-05,-0.00021841974,-0.00011711167374999999,-0.0002894375
2.0,1.535617374999999e-05,-4.407325874999999e-05,-2.95678645e-05,-6.459296750000002e-05
4.0,9.035942499999999e-06,-0.00010452707499999998,-7.4651865e-05,-0.00013781095125
6.0,4.041094249999999e-05,-0.00013073420074999998,-7.591657875e-05,-0.00017502311125
8.0,4.628594250000001e-05,-0.000177451645625,-0.00011918106187499999,-0.000236379048125
