,B,E_Z,E_Z_std_dev,m*
0,-10,0.010047676044043038,0.005938385005200066,18.337565127148665
1,-2,0.010003707687733641,0.00762816109424602,3.683632500778775
2,-4,0.01021638084577015,0.0031340382258913673,7.213901541676177
3,-6,0.024192880546109987,0.004104117174672689,4.569524000657041
4,-8,0.010112166764699152,0.005246316363705122,14.57649329734821
5,10,-0.01000029756628951,0.006130837964219058,18.424443134095096
6,2,-0.02671671877447806,0.0027754517753581886,1.3792854982636633
7,4,-0.052487767851304726,0.005568310563977889,1.4041360216048937
8,6,-0.01041666032314148,0.0036772332884195593,10.61280149981299
9,8,-0.01000789740228449,0.005207195169367393,14.728361527133336
